ICODE,INAME,INAME1,OICODE,FICODE,QTY,RATE,SRATE,IVAL,IAMT,INVNO,PCODE,ODATE,DBC
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.22,,199.22,199.22,TIC/0581,J0014,10-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.22,,199.22,199.22,TIC/0582,J0014,10-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,4,199.22,,796.88,796.88,TIC/0443,N0007,11-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.22,,199.22,199.22,TIC/0621,R0019,14-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.22,,597.66,597.66,TIC/0626,N0007,15-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.22,,199.22,199.22,TIC/0627,H0057,15-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.22,,199.22,199.22,TIC/0628,S0043,15-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.22,,398.44,398.44,TIC/0632,H0041,15-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,4,199.22,,796.88,796.88,TIC/0633,H0034,15-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.22,,398.44,398.44,TIC/0634,K0013,16-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.22,,597.66,597.66,TIC/0635,K0012,16-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.22,,597.66,597.66,TIC/0636,J0009,16-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,4,199.22,,796.88,796.88,TIC/0638,S0056,16-06-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,5,199.22,,996.1,996.1,TIC/0642,B0004,16-06-12,SALE
