ICODE,INAME,INAME1,OICODE,FICODE,IGCODE,UNIT,AQTY,QTY,FQTY,FAMT,SCHNO,SCHTYPE,RATE,SRATE,IVAL,IAMT,INVNO,DINVNO,PCODE,NAME,PCODEC,ARCODE,CATCD,DATE,IO,DESC,DBC,NT,TYCODE,DUM_INVNO,USER,CDATE,TIME,VAT,AVAT,PRODID,VATAMT,AVATAMT,DPCODE,PRINTED
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.22,,597.66,597.66,TIC/0283,,M0030,,ISLTX,N01,,06-05-12,O,,SALE,,VATIC,,TEM,23-06-12,19:54:03,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,119.30,,238.60,238.60,TIC/0279,,J0014,,ISLTX,N01,PR,06-05-12,O,,SALE,,VATIC,,TEM,23-06-12,20:04:33,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,4.000,0.000,0.00,,,113.80,,455.20,455.20,TIC/0289,,D0017,,ISLTX,N01,PR,07-05-12,O,,SALE,,VATIC,,TEM,11-06-12,22:29:20,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,5.000,0.000,0.00,,,113.80,,569.00,569.00,TIC/0244,,N0007,,ISLTX,N01,CT,07-05-12,O,,SALE,,VATIC,,TEM,12-06-12,09:49:14,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,3.000,0.000,0.00,,,119.30,,357.90,357.90,TIC/0292,,P0011,,ISLTX,D02,PR,07-05-12,O,,SALE,,VATIC,,TEM,12-06-12,12:20:32,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,119.30,,357.90,357.90,TIC/0291,,S0056,,ISLTX,,,07-05-12,O,,SALE,,VATIC,,TEM,23-06-12,20:10:35,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,119.30,,357.90,357.90,TIC/0287,,S0045,,ISLTX,N01,SS,07-05-12,O,,SALE,,VATIC,,TEM,24-06-12,11:56:20,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,119.30,,119.30,119.30,TIC/0285,,R0019,,ISLTX,N01,,07-05-12,O,,SALE,,VATIC,,TEM,03-07-12,18:03:03,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,1.000,0.000,0.00,,,113.80,,113.80,113.80,TIC/0238,,D0017,,ISLTX,N01,PR,08-05-12,O,,SALE,,VATIC,,TEM,12-06-12,09:53:33,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,4.000,0.000,0.00,,,119.30,,477.20,477.20,TIC/0325,,H0028,,ISLTX,N01,PR,08-05-12,O,,SALE,,VATIC,,TEM,23-06-12,20:17:27,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,113.80,,227.60,227.60,TIC/0323,,J0010,,ISLTX,N01,ST,08-05-12,O,,SALE,,VATIC,,TEM,18-07-12,19:27:10,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,4.000,0.000,0.00,,,113.80,,455.20,455.20,TIC/0331,,N0007,,ISLTX,N01,CT,09-05-12,O,,SALE,,VATIC,,TEM,11-06-12,22:26:00,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,15.000,0.000,0.00,,,119.30,,1789.50,1789.50,TIC/0304,,D0017,,ISLTX,N01,PR,09-05-12,O,,SALE,,VATIC,,TEM,12-06-12,12:22:27,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,2.000,0.000,0.00,,,113.80,,227.60,227.60,TIC/0317,,H0035,,ISLTX,M01,H1,10-05-12,O,,SALE,,VATIC,,TEM,12-06-12,12:07:22,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,8.000,0.000,0.00,,,119.30,,954.40,954.40,TIC/0303,,S0045,,ISLTX,N01,SS,11-05-12,O,,SALE,,VATIC,,TEM,11-06-12,18:12:12,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,3.000,0.000,0.00,,,113.80,,341.40,341.40,TIC/0300,,N0007,,ISLTX,N01,CT,11-05-12,O,,SALE,,VATIC,,TEM,12-06-12,09:38:01,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,113.80,,227.60,227.60,TIC/0307,,K0012,,ISLTX,N01,PR,11-05-12,O,,SALE,,VATIC,,TEM,22-06-12,10:20:36,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,119.30,,119.30,119.30,TIC/0320,,S0043,,ISLTX,,,11-05-12,O,,SALE,,VATIC,,TEM,26-06-12,11:39:08,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,4.000,0.000,0.00,,,119.30,,477.20,477.20,TIC/0306,,O0006,,ISLTX,D02,PR,11-05-12,O,,SALE,,VATIC,,TEM,18-07-12,19:23:40,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,119.30,,238.60,238.60,TIC/0332,,P0015,,ISLTX,N01,PR,12-05-12,O,,SALE,,VATIC,,TEM,22-06-12,12:26:30,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,3.000,0.000,0.00,,,113.80,,341.40,341.40,TIC/0340,,S0056,,ISLTX,,,12-05-12,O,,SALE,,VATIC,,TEM,23-06-12,13:24:38,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,113.80,,113.80,113.80,TIC/0340,,S0056,,ISLTX,,,12-05-12,O,,SALE,,VATIC,,TEM,23-06-12,13:24:38,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,5.000,0.000,0.00,,,119.30,,596.50,596.50,TIC/0336,,F0009,,ISLTX,M01,PR,12-05-12,O,,SALE,,VATIC,,TEM,27-06-12,21:08:55,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,4.000,0.000,0.00,,,113.80,,455.20,455.20,TIC/0362,,P0011,,ISLTX,D02,PR,13-05-12,O,,SALE,,VATIC,,TEM,12-06-12,12:15:54,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,3.000,0.000,0.00,,,113.80,,341.40,341.40,TIC/0355,,M0020,,ISLTX,M01,SS,13-05-12,O,,SALE,,VATIC,,TEM,18-06-12,11:48:06,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,113.80,,227.60,227.60,TIC/0364,,B0004,,ISLTX,N01,PR,13-05-12,O,,SALE,,VATIC,,TEM,18-06-12,11:52:00,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,6.000,0.000,0.00,,,113.80,,682.80,682.80,TIC/0358,,O0006,,ISLTX,D02,PR,13-05-12,O,,SALE,,VATIC,,TEM,22-06-12,14:44:17,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,113.80,,113.80,113.80,TIC/0368,,S0058,,ISLTX,N01,,13-05-12,O,,SALE,,VATIC,,TEM,22-06-12,14:49:05,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,113.80,,113.80,113.80,TIC/0353,,R0019,,ISLTX,N01,,13-05-12,O,,SALE,,VATIC,,TEM,27-06-12,21:02:53,,,,,,,
